ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,35,3549607,2,3,1,216654662,296608988,B,C,D,B,A,A,A,A,C,A
2017,4,43,4300604,2,3,1,241706716,219024512,B,A,D,C,B,A,C,NA,A,A
2017,3,35,3550308,1,2,1,278975448,243320963,B,C,C,B,A,A,B,A,B,A
2017,2,21,2100055,2,3,1,117031648,164408318,B,C,E,A,B,A,C,D,A,A
2017,1,17,1721000,1,2,1,191828932,254323647,A,C,C,A,A,A,B,D,E,B
2017,5,52,5211800,2,3,1,234045323,243971661,B,E,D,A,A,A,A,E,D,A
2017,3,35,3518800,2,3,1,295106068,249133318,B,C,D,A,A,A,C,B,A,B
2017,3,31,3143401,2,3,1,218530096,226226127,B,C,C,B,A,A,A,D,B,C
2017,2,26,2606408,2,3,1,164326766,23020309,B,C,E,A,A,A,C,D,B,B
2017,2,29,2908408,2,3,2,178306156,186453538,B,B,F,B,A,A,A,A,D,A
2017,3,31,3172004,2,2,1,215715982,238209107,A,A,C,B,A,A,A,B,A,B
2017,2,24,2402303,2,3,2,213635877,177042164,B,NA,C,A,A,A,B,C,E,A
2017,2,21,2101004,2,3,1,224352527,219037926,B,C,C,A,A,A,A,D,D,C
2017,3,33,3301702,2,3,1,259655197,211607377,A,A,D,E,A,A,A,C,E,B
2017,4,42,4202404,2,3,1,272001951,229144489,A,A,D,B,A,A,A,B,A,A
2017,3,35,3527108,2,2,1,219395061,269040488,A,C,E,B,B,B,A,D,A,B
2017,2,22,2206506,2,3,1,185711365,145792931,A,B,D,A,A,B,A,A,D,C
2017,2,23,2307254,2,3,2,286705928,34908227,B,A,D,B,A,A,A,A,A,A
2017,3,35,3533908,2,3,1,218475112,241103379,B,A,C,A,A,A,B,NA,A,B
2017,4,43,4314100,2,3,1,240680437,226477754,A,C,D,A,A,A,A,C,A,C
2017,3,35,3530607,2,3,1,328299158,318460876,A,A,D,B,A,B,A,D,A,C
2017,3,35,3518800,2,2,1,159263851,188887257,A,NA,D,B,B,B,NA,NA,A,A
2017,3,33,3304904,2,3,1,227387125,226627154,A,F,E,A,A,B,B,B,A,A
2017,3,35,3557006,2,3,1,293798372,295188037,B,C,C,E,A,A,A,D,E,C
2017,4,42,4218004,2,3,1,230003619,247020476,A,A,C,B,A,A,B,C,A,C
2017,1,13,1301308,2,2,1,215692181,182361045,B,B,D,A,A,B,C,B,D,C
2017,5,50,5000609,2,2,1,272313338,259352224,A,A,D,C,A,A,C,B,A,C
2017,3,35,3550308,1,2,1,217622928,22296766,A,A,C,B,A,B,A,D,E,B
2017,3,31,3156700,2,2,1,233454226,235505092,B,C,D,A,A,B,A,A,C,B
2017,1,13,1302603,1,3,1,191568065,189252793,B,B,E,B,B,A,C,E,A,C
